Date,Julian,Time,Hour,Site,Location,Temperature (C),Species ID,Grouping,Grouping_no,Count,"In Water (0=no, 1=yes)","Predation (0=no, 1=yes)",Comments
7/5/2022,186,22:46:13,22,Carse Brook,,18,Raccoon,Raccoon,6,1,1,0,
7/6/2022,187,6:03:33,6,Carse Brook,,18,Raccoon,Raccoon,6,1,1,0,
7/6/2022,187,23:36:51,23,Carse Brook,,17,Raccoon,Raccoon,6,1,1,0,
7/7/2022,188,19:29:23,19,Carse Brook,,23,Great Blue Heron,Great Blue Heron,4,1,0,0,
7/7/2022,188,4:29:23,4,Carse Brook,,15,Raccoon,Raccoon,6,1,1,0,
7/7/2022,188,6:26:08,6,Carse Brook,,15,Raccoon,Raccoon,6,1,1,0,
7/9/2022,190,8:59:18,8,Carse Brook,,26,Angler,Angler,1,1,0,0,
7/9/2022,190,9:00:23,9,Carse Brook,,26,Angler,Angler,1,1,1,0,
7/9/2022,190,3:12:18,3,Carse Brook,,16,Raccoon,Raccoon,6,1,0,0,
7/10/2022,191,0:55:20,0,Carse Brook,,13,Raccoon,Raccoon,6,1,1,0,
7/10/2022,191,1:34:41,1,Carse Brook,,12,Raccoon,Raccoon,6,1,1,0,
7/11/2022,192,5:42:53,5,Carse Brook,,11,Common Merganser,Common Merganser,3,13,1,0,
7/12/2022,193,21:34:17,21,Carse Brook,,21,Raccoon,Raccoon,6,1,1,0,
7/14/2022,195,19:20:07,19,Carse Brook,,23,Great Blue Heron,Great Blue Heron,4,1,1,0,
7/15/2022,196,15:22:53,15,Carse Brook,,26,Angler,Angler,1,1,1,0,
7/15/2022,196,16:07:35,16,Carse Brook,,26,Angler,Angler,1,1,1,0,
7/15/2022,196,15:22:53,15,Carse Brook,,26,Person,Person,5,1,1,0,
7/15/2022,196,16:11:50,16,Carse Brook,,26,Person,Person,5,1,1,0,
7/15/2022,196,23:39:48,23,Carse Brook,,16,Raccoon,Raccoon,6,1,1,0,
7/16/2022,197,5:07:29,5,Carse Brook,,14,Raccoon,Raccoon,6,1,1,0,
7/17/2022,198,17:30:36,17,Carse Brook,,27,Common Merganser,Common Merganser,3,3,1,0,
7/17/2022,198,1:02:42,1,Carse Brook,,18,Raccoon,Raccoon,6,1,1,0,
7/17/2022,198,23:26:47,23,Carse Brook,,21,Raccoon,Raccoon,6,1,0,0,
7/18/2022,199,7:48:47,7,Carse Brook,,20,Common Merganser,Common Merganser,3,6,1,0,
7/20/2022,201,0:58:59,0,Carse Brook,,20,Raccoon,Raccoon,6,1,1,0,
7/20/2022,201,22:35:58,22,Carse Brook,,23,Raccoon,Raccoon,6,1,1,0,
7/20/2022,201,23:56:29,23,Carse Brook,,22,Raccoon,Raccoon,6,1,1,0,
7/21/2022,202,6:50:03,6,Carse Brook,,18,Common Merganser,Common Merganser,3,4,1,0,
7/22/2022,203,0:02:33,0,Carse Brook,,22,Raccoon,Raccoon,6,1,1,0,
7/22/2022,203,21:28:27,21,Carse Brook,,23,Raccoon,Raccoon,6,1,1,0,
7/23/2022,204,23:22:59,23,Carse Brook,,22,Raccoon,Raccoon,6,1,1,0,
7/24/2022,205,2:31:53,2,Carse Brook,,20,Raccoon,Raccoon,6,1,1,0,
7/24/2022,205,4:18:18,4,Carse Brook,,18,Raccoon,Raccoon,6,1,1,0,
7/25/2022,206,0:11:11,0,Carse Brook,,22,Raccoon,Raccoon,6,2,1,0,
7/25/2022,206,2:29:02,2,Carse Brook,,22,Raccoon,Raccoon,6,1,1,0,
7/25/2022,206,20:20:04,20,Carse Brook,,22,Raccoon,Raccoon,6,1,1,0,
7/25/2022,206,22:10:09,22,Carse Brook,,21,Raccoon,Raccoon,6,1,1,0,
7/26/2022,207,11:02:47,11,Carse Brook,,23,Great Blue Heron,Great Blue Heron,4,1,1,0,
7/26/2022,207,11:21:29,11,Carse Brook,,23,Great Blue Heron,Great Blue Heron,4,1,1,0,
7/26/2022,207,12:13:12,12,Carse Brook,,23,Great Blue Heron,Great Blue Heron,4,2,1,0,
7/26/2022,207,12:03:21,12,Carse Brook,,23,Great Blue Heron,Great Blue Heron,4,1,1,0,
7/26/2022,207,0:02:33,0,Carse Brook,,21,Raccoon,Raccoon,6,1,1,0,
7/26/2022,207,23:18:49,23,Carse Brook,,16,Raccoon,Raccoon,6,1,1,0,
7/27/2022,208,8:58:03,8,Carse Brook,,21,Great Blue Heron,Great Blue Heron,4,2,1,0,
7/27/2022,208,8:42:18,8,Carse Brook,,20,Great Blue Heron,Great Blue Heron,4,1,1,0,
7/27/2022,208,10:28:50,10,Carse Brook,,23,Great Blue Heron,Great Blue Heron,4,1,0,0,
7/27/2022,208,10:50:47,10,Carse Brook,,25,Great Blue Heron,Great Blue Heron,4,1,1,0,
7/27/2022,208,11:38:00,11,Carse Brook,,26,Person,Person,5,2,1,0,
7/27/2022,208,3:37:53,3,Carse Brook,,13,Raccoon,Raccoon,6,1,1,0,
7/27/2022,208,22:44:10,22,Carse Brook,,20,Raccoon,Raccoon,6,1,1,0,
7/28/2022,209,16:00:11,16,Carse Brook,,29,Turkey Vulture,Raptor,7,2,0,0,
7/29/2022,210,13:04:19,13,Carse Brook,,28,Great Blue Heron,Great Blue Heron,4,1,1,0,
7/29/2022,210,14:02:21,14,Carse Brook,,29,Person,Person,5,2,1,0,
7/29/2022,210,0:31:57,0,Carse Brook,,22,Raccoon,Raccoon,6,1,1,0,
7/30/2022,211,0:16:26,0,Carse Brook,,22,Raccoon,Raccoon,6,1,1,0,
7/30/2022,211,22:40:24,22,Carse Brook,,17,River Otter,River Otter,8,1,1,0,
7/30/2022,211,23:24:30,23,Carse Brook,,17,River Otter,River Otter,8,1,1,0,
7/31/2022,212,12:18:34,12,Carse Brook,,26,Person,Person,5,2,1,0,
7/31/2022,212,0:06:59,0,Carse Brook,,16,Raccoon,Raccoon,6,4,1,0,
7/31/2022,212,1:32:43,1,Carse Brook,,16,Raccoon,Raccoon,6,5,1,0,
8/1/2022,213,22:35:02,22,Carse Brook,,18,Raccoon,Raccoon,6,1,1,0,
8/1/2022,213,0:23:22,0,Carse Brook,,20,River Otter,River Otter,8,1,1,0,
8/2/2022,214,6:22:12,6,Carse Brook,,17,Great Blue Heron,Great Blue Heron,4,2,1,0,
8/2/2022,214,3:21:47,3,Carse Brook,,17,Raccoon,Raccoon,6,1,1,0,
8/4/2022,216,17:45:59,17,Carse Brook,,31,Great Blue Heron,Great Blue Heron,4,1,1,0,
8/4/2022,216,3:28:24,3,Carse Brook,,17,Raccoon,Raccoon,6,1,1,0,
8/4/2022,216,23:38:50,23,Carse Brook,,22,Raccoon,Raccoon,6,1,1,0,
8/5/2022,217,20:52:32,20,Carse Brook,,25,Raccoon,Raccoon,6,1,1,0,
8/6/2022,218,13:32:59,13,Carse Brook,,29,Person,Person,5,2,1,0,
8/7/2022,219,2:37:32,2,Carse Brook,,22,Raccoon,Raccoon,6,1,1,0,
8/8/2022,220,16:20:44,16,Carse Brook,,23,Person,Person,5,2,1,0,
8/9/2022,221,0:07:08,0,Carse Brook,,22,Raccoon,Raccoon,6,1,1,0,
8/9/2022,221,2:14:35,2,Carse Brook,,22,Raccoon,Raccoon,6,1,1,0,
8/10/2022,222,13:12:20,13,Carse Brook,,26,Person,Person,5,2,1,0,
8/10/2022,222,4:10:59,4,Carse Brook,,21,Raccoon,Raccoon,6,1,1,0,
8/16/2022,228,13:37:08,13,Carse Brook,,27,Person,Person,5,1,1,0,
8/16/2022,228,17:41:27,17,Carse Brook,,25,Person,Person,5,1,0,0,
8/18/2022,230,13:31:23,13,Carse Brook,,25,Great Blue Heron,Great Blue Heron,4,1,0,0,
8/21/2022,233,14:15:59,14,Carse Brook,,27,Angler,Angler,1,1,0,0,
8/25/2022,237,15:08:57,15,Carse Brook,,27,Angler,Angler,1,2,1,0,
8/25/2022,237,16:47:13,16,Carse Brook,,27,Angler,Angler,1,2,1,0,
8/27/2022,239,13:33:34,13,Carse Brook,,26,Great Blue Heron,Great Blue Heron,4,1,1,0,
8/29/2022,241,16:29:34,16,Carse Brook,,27,Person,Person,5,2,1,0,
8/31/2022,243,15:20:06,15,Carse Brook,,24,Great Blue Heron,Great Blue Heron,4,1,1,0,
9/3/2022,246,16:23:16,16,Carse Brook,,24,Angler,Angler,1,2,1,0,
9/3/2022,246,17:24:21,17,Carse Brook,,24,Angler,Angler,1,2,1,0,
9/3/2022,246,0:42:15,0,Carse Brook,,12,Coyote,Carnivore,2,1,1,0,
9/3/2022,246,13:50:03,13,Carse Brook,,23,Person,Person,5,1,0,0,
9/3/2022,246,16:23:16,16,Carse Brook,,24,Person,Person,5,1,1,0,
9/7/2022,250,15:59:56,15,Carse Brook,,18,Great Blue Heron,Great Blue Heron,4,1,1,0,
9/9/2022,252,8:45:56,8,Carse Brook,,11,Great Blue Heron,Great Blue Heron,4,1,1,0,
9/10/2022,253,11:31:41,11,Carse Brook,,21,Great Blue Heron,Great Blue Heron,4,1,1,0,
9/16/2022,259,7:41:54,7,Carse Brook,,6,Angler,Angler,1,1,1,0,
9/17/2022,260,10:08:35,10,Carse Brook,,15,Angler,Angler,1,1,1,0,
9/17/2022,260,11:36:37,11,Carse Brook,,15,Angler,Angler,1,1,1,0,
9/18/2022,261,14:05:39,14,Carse Brook,,24,Angler,Angler,1,1,1,0,
9/18/2022,261,14:37:14,14,Carse Brook,,25,Angler,Angler,1,1,1,0,
9/24/2022,267,10:52:41,10,Carse Brook,,12,Great Blue Heron,Great Blue Heron,4,1,1,0,
9/24/2022,267,11:29:23,11,Carse Brook,,12,Great Blue Heron,Great Blue Heron,4,1,1,0,
5/18/2022,138,19:52:47,19,Furnace Brook,UPS,11,Angler,Angler,1,1,0,0,
5/18/2022,138,20:01:32,20,Furnace Brook,DNS,16,Angler,Angler,1,1,1,0,
5/18/2022,138,11:36:18,11,Furnace Brook,DNS,16,Angler,Angler,1,1,1,0,
5/20/2022,140,17:32:37,17,Furnace Brook,UPS,16,Angler,Angler,1,1,1,0,
5/20/2022,140,8:17:56,8,Furnace Brook,DNS,11,Angler,Angler,1,2,1,0,
5/20/2022,140,6:11:50,6,Furnace Brook,UPS,5,Great Blue Heron,Great Blue Heron,4,1,0,0,
5/20/2022,140,6:16:18,6,Furnace Brook,DNS,10,Great Blue Heron,Great Blue Heron,4,1,0,0,
5/21/2022,141,4:49:35,4,Furnace Brook,UPS,11,Great Blue Heron,Great Blue Heron,4,1,0,0,
5/22/2022,142,15:08:26,15,Furnace Brook,UPS,24,Angler,Angler,1,1,0,0,
5/22/2022,142,15:20:44,15,Furnace Brook,DNS,30,Angler,Angler,1,1,0,0,
5/22/2022,142,7:30:54,7,Furnace Brook,DNS,17,Angler,Angler,1,1,1,0,
5/22/2022,142,8:30:42,8,Furnace Brook,UPS,16,Common Merganser,Common Merganser,3,2,0,0,
5/22/2022,142,8:38:11,8,Furnace Brook,UPS,16,Common Merganser,Common Merganser,3,2,0,0,
5/24/2022,144,15:07:54,15,Furnace Brook,DNS,21,Angler,Angler,1,1,0,0,
5/24/2022,144,15:11:26,15,Furnace Brook,DNS,21,Angler,Angler,1,1,0,0,
5/24/2022,144,11:23:54,11,Furnace Brook,UPS,12,Angler,Angler,1,1,1,0,
5/24/2022,144,23:09:44,23,Furnace Brook,MID,6,Raccoon,Raccoon,6,1,1,0,
5/25/2022,145,15:21:34,15,Furnace Brook,UPS,17,Person,Person,5,1,0,0,
5/25/2022,145,15:21:07,15,Furnace Brook,MID,15,Person,Person,5,1,0,0,
5/25/2022,145,0:39:01,0,Furnace Brook,MID,6,Raccoon,Raccoon,6,1,1,0,
5/25/2022,145,2:29:22,2,Furnace Brook,MID,5,Raccoon,Raccoon,6,1,1,0,
5/25/2022,145,22:49:34,22,Furnace Brook,MID,8,Raccoon,Raccoon,6,1,1,0,
5/26/2022,146,12:57:26,12,Furnace Brook,UPS,15,Angler,Angler,1,1,0,0,
5/26/2022,146,12:55:06,12,Furnace Brook,DNS,20,Angler,Angler,1,1,0,0,
5/26/2022,146,12:56:54,12,Furnace Brook,MID,13,Angler,Angler,1,1,0,0,
5/26/2022,146,13:29:15,13,Furnace Brook,UPS,16,Angler,Angler,1,1,1,0,
5/26/2022,146,13:53:13,13,Furnace Brook,UPS,16,Common Merganser,Common Merganser,3,1,0,0,
5/26/2022,146,15:28:04,15,Furnace Brook,UPS,17,Common Merganser,Common Merganser,3,1,0,0,
5/26/2022,146,14:24:16,14,Furnace Brook,UPS,16,Common Merganser,Common Merganser,3,1,1,0,
5/26/2022,146,7:54:32,7,Furnace Brook,UPS,8,Person,Person,5,1,0,0,
5/26/2022,146,7:54:06,7,Furnace Brook,MID,7,Person,Person,5,1,0,0,
5/26/2022,146,21:43:52,21,Furnace Brook,MID,11,Raccoon,Raccoon,6,1,0,0,
5/26/2022,146,22:36:43,22,Furnace Brook,MID,11,Raccoon,Raccoon,6,1,0,0,
5/26/2022,146,23:29:26,23,Furnace Brook,MID,10,Raccoon,Raccoon,6,1,0,0,
5/26/2022,146,22:36:35,22,Furnace Brook,UPS,12,Raccoon,Raccoon,6,1,1,0,
5/27/2022,147,9:46:45,9,Furnace Brook,UPS,14,Angler,Angler,1,1,0,0,
5/27/2022,147,10:55:52,10,Furnace Brook,UPS,15,Angler,Angler,1,1,0,0,
5/27/2022,147,9:46:27,9,Furnace Brook,MID,12,Angler,Angler,1,1,0,0,
5/27/2022,147,10:55:34,10,Furnace Brook,MID,13,Angler,Angler,1,1,0,0,
5/27/2022,147,6:37:33,6,Furnace Brook,UPS,11,Great Blue Heron,Great Blue Heron,4,1,0,0,
5/27/2022,147,22:51:28,22,Furnace Brook,DNS,16,Raccoon,Raccoon,6,1,0,0,
5/28/2022,148,17:02:30,17,Furnace Brook,UPS,13,Angler,Angler,1,1,0,0,
5/28/2022,148,17:02:13,17,Furnace Brook,MID,12,Angler,Angler,1,1,0,0,
5/28/2022,148,20:32:49,20,Furnace Brook,UPS,13,Great Blue Heron,Great Blue Heron,4,1,0,0,
5/28/2022,148,15:57:22,15,Furnace Brook,MID,11,Great Blue Heron,Great Blue Heron,4,1,1,0,
5/28/2022,148,20:24:29,20,Furnace Brook,MID,11,Great Blue Heron,Great Blue Heron,4,1,1,0,
5/28/2022,148,20:32:16,20,Furnace Brook,MID,11,Great Blue Heron,Great Blue Heron,4,1,1,0,
5/28/2022,148,22:17:47,22,Furnace Brook,DNS,15,Raccoon,Raccoon,6,1,0,0,
5/29/2022,149,16:59:59,16,Furnace Brook,UPS,22,Person,Person,5,1,1,0,Kayaker
5/29/2022,149,16:57:55,16,Furnace Brook,MID,21,Person,Person,5,1,1,0,Kayaker
5/29/2022,149,17:12:11,17,Furnace Brook,DNS,27,Angler,Angler,1,1,0,0,
5/29/2022,149,17:18:34,17,Furnace Brook,UPS,22,Angler,Angler,1,1,1,0,
